,№,Адрес,Управляющий,Телефон,Год,Площадь м2,Жители
21,247,"г. Новосибирск, ул. Декабристов, д. 95",УК «МКС-Новосибирск»,233-03-10,1967,1 343.79,18
22,248,"г. Новосибирск, ул. Декабристов, д. 97",УК «МКС-Новосибирск»,233-03-10,—,—,—
23,249,"г. Новосибирск, ул. Декабристов, д. 101",УК «МКС-Новосибирск»,233-03-10,—,—,—
24,250,"г. Новосибирск, ул. Декабристов, д. 103",УК «МКС-Новосибирск»,233-03-10,—,—,—
1,252,"г. Новосибирск, ул. Декабристов, д. 107",УК «МКС-Новосибирск»,233-03-10,—,—,—
2,253,"г. Новосибирск, ул. Декабристов, д. 152",УК «МКС-Новосибирск»,233-03-10,—,—,—
3,254,"г. Новосибирск, ул. Декабристов, д. 154",УК «МКС-Новосибирск»,233-03-10,—,—,—
4,255,"г. Новосибирск, ул. Декабристов, д. 156",УК «МКС-Новосибирск»,233-03-10,—,—,—
5,256,"г. Новосибирск, ул. Декабристов, д. 158",УК «МКС-Новосибирск»,233-03-10,—,—,—
6,257,"г. Новосибирск, ул. Декабристов, д. 158а",УК «МКС-Новосибирск»,233-03-10,—,—,—
7,258,"г. Новосибирск, ул. Декабристов, д. 160",УК «МКС-Новосибирск»,233-03-10,—,—,—
8,259,"г. Новосибирск, ул. Демьяна Бедного, д. 40",УК «МКС-Новосибирск»,233-03-10,1923,52.30,1
9,260,"г. Новосибирск, ул. Демьяна Бедного, д. 56",УК «МКС-Новосибирск»,233-03-10,1963,1 601.60,50
10,261,"г. Новосибирск, ул. Демьяна Бедного, д. 58",УК «МКС-Новосибирск»,233-03-10,1937,1 755.00,88
11,262,"г. Новосибирск, ул. Демьяна Бедного, д. 58а",УК «МКС-Новосибирск»,233-03-10,1958,2 774.00,74
12,263,"г. Новосибирск, ул. Демьяна Бедного, д. 62",УК «МКС-Новосибирск»,233-03-10,1966,3 550.30,166
13,264,"г. Новосибирск, ул. Демьяна Бедного, д. 64",УК «МКС-Новосибирск»,233-03-10,1966,3 607.20,162
14,265,"г. Новосибирск, ул. Демьяна Бедного, д. 66",УК «МКС-Новосибирск»,233-03-10,1966,3 431.30,—
15,266,"г. Новосибирск, ул. Демьяна Бедного, д. 68",УК «МКС-Новосибирск»,233-03-10,1966,3 388.50,177
16,267,"г. Новосибирск, ул. Демьяна Бедного, д. 68а",УК «МКС-Новосибирск»,233-03-10,1966,3 388.30,133
17,268,"г. Новосибирск, ул. Демьяна Бедного, д. 70",УК «МКС-Новосибирск»,233-03-10,1966,3 551.20,167
18,269,"г. Новосибирск, ул. Державина, д. 42",УК «МКС-Новосибирск»,233-03-10,1973,11 263.50,465
19,270,"г. Новосибирск, ул. Державина, д. 44",УК «МКС-Новосибирск»,233-03-10,1973,2 564.10,113
20,271,"г. Новосибирск, ул. Державина, д. 46",УК «МКС-Новосибирск»,233-03-10,1973,7 422.40,342
21,272,"г. Новосибирск, ул. Дмитрия Донского, д. 20",УК «МКС-Новосибирск»,233-03-10,—,—,—
22,273,"г. Новосибирск, ул. Дмитрия Донского, д. 22",УК «МКС-Новосибирск»,233-03-10,—,—,—
23,274,"г. Новосибирск, ул. Дмитрия Донского, д. 24",УК «МКС-Новосибирск»,233-03-10,—,—,—
24,275,"г. Новосибирск, ул. Дмитрия Донского, д. 26",УК «МКС-Новосибирск»,233-03-10,—,—,—
1,277,"г. Новосибирск, ул. Дмитрия Донского, д. 30",УК «МКС-Новосибирск»,233-03-10,—,—,—
2,278,"г. Новосибирск, ул. Дмитрия Донского, д. 30/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
3,279,"г. Новосибирск, ул. Дмитрия Донского, д. 31",УК «МКС-Новосибирск»,233-03-10,—,—,—
4,280,"г. Новосибирск, ул. Дмитрия Донского, д. 32",УК «МКС-Новосибирск»,233-03-10,—,—,—
5,281,"г. Новосибирск, ул. Дмитрия Донского, д. 34",УК «МКС-Новосибирск»,233-03-10,—,—,—
6,282,"г. Новосибирск, ул. Дмитрия Донского, д. 35",УК «МКС-Новосибирск»,233-03-10,—,—,—
7,283,"г. Новосибирск, ул. Дмитрия Донского, д. 37",УК «МКС-Новосибирск»,233-03-10,—,—,—
8,284,"г. Новосибирск, ул. Дмитрия Донского, д. 39",УК «МКС-Новосибирск»,233-03-10,—,—,—
9,285,"г. Новосибирск, ул. Дмитрия Донского, д. 43",УК «МКС-Новосибирск»,233-03-10,—,—,—
10,286,"г. Новосибирск, ул. Дмитрия Донского, д. 45",УК «МКС-Новосибирск»,233-03-10,—,—,—
11,287,"г. Новосибирск, ул. Дмитрия Донского, д. 47",УК «МКС-Новосибирск»,233-03-10,—,—,—
12,288,"г. Новосибирск, ул. Дмитрия Донского, д. 49",УК «МКС-Новосибирск»,233-03-10,1964,4 158.00,124
13,289,"г. Новосибирск, ул. Дмитрия Шамшурина, д. 22",УК «МКС-Новосибирск»,233-03-10,1969,3 232.50,127
14,290,"г. Новосибирск, ул. Добролюбова, д. 14",УК «МКС-Новосибирск»,233-03-10,—,—,—
15,291,"г. Новосибирск, ул. Добролюбова, д. 14а",УК «МКС-Новосибирск»,233-03-10,—,—,—
16,292,"г. Новосибирск, ул. Добролюбова, д. 18",УК «МКС-Новосибирск»,233-03-10,—,—,—
17,293,"г. Новосибирск, ул. Добролюбова, д. 20",УК «МКС-Новосибирск»,233-03-10,1951,5 505.90,156
18,294,"г. Новосибирск, ул. Добролюбова, д. 26",УК «МКС-Новосибирск»,233-03-10,1967,5 307.80,123
19,295,"г. Новосибирск, ул. Добролюбова, д. 211",УК «МКС-Новосибирск»,233-03-10,—,—,—
20,296,"г. Новосибирск, ул. Добролюбова, д. 213",УК «МКС-Новосибирск»,233-03-10,—,—,—
21,297,"г. Новосибирск, ул. Добролюбова, д. 215",УК «МКС-Новосибирск»,233-03-10,—,—,—
22,298,"г. Новосибирск, ул. Добролюбова, д. 219",УК «МКС-Новосибирск»,233-03-10,—,—,—
23,299,"г. Новосибирск, ул. Добролюбова, д. 221",УК «МКС-Новосибирск»,233-03-10,—,—,—
24,300,"г. Новосибирск, ул. Добролюбова, д. 223",УК «МКС-Новосибирск»,233-03-10,—,—,—
1,302,"г. Новосибирск, ул. Добролюбова, д. 227",УК «МКС-Новосибирск»,233-03-10,—,—,—
2,303,"г. Новосибирск, ул. Добролюбова, д. 229",УК «МКС-Новосибирск»,233-03-10,—,—,—
3,304,"г. Новосибирск, ул. Добролюбова, д. 231",УК «МКС-Новосибирск»,233-03-10,—,—,—
4,305,"г. Новосибирск, ул. Добролюбова, д. 235",УК «МКС-Новосибирск»,233-03-10,—,—,—
5,306,"г. Новосибирск, ул. Добролюбова, д. 237",УК «МКС-Новосибирск»,233-03-10,—,—,—
6,307,"г. Новосибирск, ул. Добролюбова, д. 239",УК «МКС-Новосибирск»,233-03-10,—,—,—
7,308,"г. Новосибирск, ул. Добролюбова, д. 241",УК «МКС-Новосибирск»,233-03-10,—,—,—
8,309,"г. Новосибирск, ул. Добролюбова, д. 243",УК «МКС-Новосибирск»,233-03-10,—,—,—
9,310,"г. Новосибирск, ул. Добролюбова, д. 245",УК «МКС-Новосибирск»,233-03-10,—,—,—
10,311,"г. Новосибирск, ул. Добролюбова, д. 247",УК «МКС-Новосибирск»,233-03-10,—,—,—
11,312,"г. Новосибирск, ул. Добролюбова, д. 249",УК «МКС-Новосибирск»,233-03-10,—,—,—
12,313,"г. Новосибирск, ул. Добролюбова, д. 251",УК «МКС-Новосибирск»,233-03-10,—,—,—
13,314,"г. Новосибирск, ул. Добролюбова, д. 253",УК «МКС-Новосибирск»,233-03-10,—,—,—
14,315,"г. Новосибирск, ул. Добролюбова, д. 255",УК «МКС-Новосибирск»,233-03-10,—,—,—
15,316,"г. Новосибирск, ул. Добролюбова, д. 257",УК «МКС-Новосибирск»,233-03-10,—,—,—
16,317,"г. Новосибирск, ул. Добролюбова, д. 259",УК «МКС-Новосибирск»,233-03-10,—,—,—
17,318,"г. Новосибирск, ул. Добролюбова, д. 261",УК «МКС-Новосибирск»,233-03-10,—,—,—
18,319,"г. Новосибирск, ул. Добролюбова, д. 263",УК «МКС-Новосибирск»,233-03-10,—,—,—
19,320,"г. Новосибирск, ул. Добролюбова, д. 265",УК «МКС-Новосибирск»,233-03-10,—,—,—
20,321,"г. Новосибирск, ул. Дунайская, д. 15",УК «МКС-Новосибирск»,233-03-10,—,—,—
21,322,"г. Новосибирск, ул. Ермака, д. 85",УК «МКС-Новосибирск»,233-03-10,1973,3 937.60,208
22,323,"г. Новосибирск, ул. Есенина, д. 39/1",УК «МКС-Новосибирск»,233-03-10,1965,3 554.40,166
23,324,"г. Новосибирск, ул. Жуковского, д. 103/2",УК «МКС-Новосибирск»,233-03-10,—,—,—
24,325,"г. Новосибирск, ул. Жуковского, д. 105/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
1,327,"г. Новосибирск, ул. Жуковского, д. 107/2",УК «МКС-Новосибирск»,233-03-10,—,—,—
2,328,"г. Новосибирск, ул. Жуковского, д. 109",УК «МКС-Новосибирск»,233-03-10,—,—,—
3,329,"г. Новосибирск, ул. Жуковского, д. 113/1",УК «МКС-Новосибирск»,233-03-10,1963,4 800.80,174
4,330,"г. Новосибирск, ул. Жуковского, д. 113/2",УК «МКС-Новосибирск»,233-03-10,—,—,—
5,331,"г. Новосибирск, ул. Жуковского, д. 113/3",УК «МКС-Новосибирск»,233-03-10,—,—,—
6,332,"г. Новосибирск, ул. Жуковского, д. 113/4",УК «МКС-Новосибирск»,233-03-10,—,—,—
7,333,"г. Новосибирск, ул. Жуковского, д. 115",УК «МКС-Новосибирск»,233-03-10,—,—,—
8,334,"г. Новосибирск, ул. Жуковского, д. 115/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
9,335,"г. Новосибирск, ул. Жуковского, д. 115/2",УК «МКС-Новосибирск»,233-03-10,—,—,—
10,336,"г. Новосибирск, ул. Жуковского, д. 115/3",УК «МКС-Новосибирск»,233-03-10,1963,6 258.40,—
11,337,"г. Новосибирск, ул. Жуковского, д. 115/4",УК «МКС-Новосибирск»,233-03-10,1963,4 753.50,176
12,338,"г. Новосибирск, ул. Жуковского, д. 117",УК «МКС-Новосибирск»,233-03-10,—,—,—
13,339,"г. Новосибирск, ул. Жуковского, д. 117/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
14,340,"г. Новосибирск, ул. Жуковского, д. 121",УК «МКС-Новосибирск»,233-03-10,—,—,—
15,341,"г. Новосибирск, ул. Журинская, д. 47",УК «МКС-Новосибирск»,233-03-10,1932,455.30,36
16,342,"г. Новосибирск, ул. Зыряновская, д. 139",УК «МКС-Новосибирск»,233-03-10,—,—,—
17,343,"г. Новосибирск, ул. Зыряновская, д. 141",УК «МКС-Новосибирск»,233-03-10,—,—,—
18,344,"г. Новосибирск, ул. Зыряновская, д. 143",УК «МКС-Новосибирск»,233-03-10,—,—,—
19,345,"г. Новосибирск, пер. Инструментальный, д. 3",УК «МКС-Новосибирск»,233-03-10,1958,29.70,6
20,346,"г. Новосибирск, пер. Инструментальный, д. 4",УК «МКС-Новосибирск»,233-03-10,1957,30.90,3
21,347,"г. Новосибирск, ул. Ипподромская, д. 25",УК «МКС-Новосибирск»,233-03-10,1970,3 282.00,162
